msgId,timestamp,error,modeCode,channel,connType,sa,ssa,da,dsa,wc,modeCodeVal,txRsp,txSts,rxRsp,rxSts,dw0,dw1,dw2,dw3,dw4,dw5,dw6,dw7,dw8,dw9,dw10,dw11,dw12,dw13,dw14,dw15,dw16,dw17,dw18,dw19,dw20,dw21,dw22,dw23,dw24,dw25,dw26,dw27,dw28,dw29,dw30,dw31,malicious,injected,gap,msgTime
11,1134.818193725,false,false,A,RT->RT,01,01,02,02,09,N/A,8.5,0x1000,8.5,0x0800,0x1FA4,0x0000,0x0240,0x0006,0x70A4,0x4242,0x051F,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,34,272
12,1135.066477725,false,true,A,BC->RT,N/A,N/A,01,00,N/A,17,N/A,N/A,8.5,0x0800,0x0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,248012,65
13,1135.066556725,false,true,A,BC->RT,N/A,N/A,02,00,N/A,17,N/A,N/A,8.5,0x1000,0x0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
14,1135.066635725,false,true,A,BC->RT,N/A,N/A,03,00,N/A,17,N/A,N/A,8.5,0x1800,0x0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
15,1135.066714725,false,true,A,BC->RT,N/A,N/A,04,00,N/A,17,N/A,N/A,8.5,0x2000,0x0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
16,1135.066878725,false,false,A,BC->RT,N/A,N/A,02,20,01,N/A,N/A,N/A,8.5,0x1000,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,99,65
17,1135.066957725,false,false,A,BC->RT,N/A,N/A,04,20,01,N/A,N/A,N/A,8.5,0x2000,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
18,1135.067036725,false,false,A,RT->BC,04,05,N/A,N/A,01,N/A,8.5,0x2000,N/A,N/A,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
19,1135.067115725,false,false,A,RT->BC,02,30,N/A,N/A,20,N/A,8.5,0x1000,N/A,N/A,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,445
20,1135.067574725,false,false,A,RT->RT,01,01,03,01,09,N/A,8.5,0x1800,8.5,0x0800,0x2008,0x0000,0x0240,0x001E,0x7AE1,0x4242,0x0A3D,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,272
21,1135.067860725,false,false,A,RT->RT,01,01,02,02,09,N/A,8.5,0x1000,8.5,0x0800,0x206C,0x0000,0x0240,0x0028,0x851F,0x4242,0x0F5C,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,272
22,1135.316477725,false,true,A,BC->RT,N/A,N/A,01,00,N/A,17,N/A,N/A,8.5,0x0800,0x0003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,248345,65
23,1135.316556725,false,true,A,BC->RT,N/A,N/A,02,00,N/A,17,N/A,N/A,8.5,0x1000,0x0003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
24,1135.316635725,false,true,A,BC->RT,N/A,N/A,03,00,N/A,17,N/A,N/A,8.5,0x1800,0x0003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
25,1135.316714725,false,true,A,BC->RT,N/A,N/A,04,00,N/A,17,N/A,N/A,8.5,0x2000,0x0003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
26,1135.316878725,false,false,B,RT->BC,01,20,N/A,N/A,01,N/A,8.5,0x0800,N/A,N/A,0x2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,99,65
27,1135.316957725,false,false,B,RT->BC,03,20,N/A,N/A,01,N/A,8.5,0x1800,N/A,N/A,0x1001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
28,1135.317036725,false,false,A,RT->BC,04,05,N/A,N/A,01,N/A,8.5,0x2000,N/A,N/A,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
29,1135.317115725,false,false,A,RT->BC,03,30,N/A,N/A,32,N/A,8.5,0x1800,N/A,N/A,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,false,false,14,685
30,1135.317814725,false,false,A,RT->RT,01,01,03,01,09,N/A,8.5,0x1800,8.5,0x0800,0x20D0,0x0000,0x0240,0x0034,0x8F5C,0x4242,0x147B,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,272
31,1135.318100725,false,false,A,RT->RT,01,01,02,02,09,N/A,8.5,0x1000,8.5,0x0800,0x2134,0x0000,0x0238,0x0040,0x999A,0x4242,0x199A,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,272
32,1135.566477725,false,true,A,BC->RT,N/A,N/A,01,00,N/A,17,N/A,N/A,8.5,0x0800,0x0004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,248105,65
33,1135.566556725,false,true,A,BC->RT,N/A,N/A,02,00,N/A,17,N/A,N/A,8.5,0x1000,0x0004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
34,1135.566635725,false,true,A,BC->RT,N/A,N/A,03,00,N/A,17,N/A,N/A,8.5,0x1800,0x0004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
35,1135.566714725,false,true,A,BC->RT,N/A,N/A,04,00,N/A,17,N/A,N/A,8.5,0x2000,0x0004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
36,1135.566878725,false,false,B,RT->BC,02,20,N/A,N/A,01,N/A,8.5,0x1000,N/A,N/A,0x4004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,99,65
37,1135.566957725,false,false,B,RT->BC,04,20,N/A,N/A,01,N/A,8.5,0x2000,N/A,N/A,0x0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
38,1135.567036725,false,false,A,RT->BC,04,05,N/A,N/A,01,N/A,8.5,0x2000,N/A,N/A,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,65
39,1135.567115725,false,false,A,RT->BC,04,30,N/A,N/A,32,N/A,8.5,0x2000,N/A,N/A,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,false,false,14,685
40,1135.567814725,false,false,A,RT->RT,01,01,03,01,09,N/A,8.5,0x1800,8.5,0x0800,0x2198,0x0000,0x0237,0x004E,0x9EB8,0x4242,0x1EB8,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,272
41,1135.568100725,false,false,A,RT->RT,01,01,02,02,09,N/A,8.5,0x1000,8.5,0x0800,0x222E,0x0000,0x0235,0x005A,0x9EB8,0x4242,0x23D7,0x42F6,0x0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,false,14,272
42,1135.816477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,248105,112
43,1136.066478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
44,1136.316477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x33CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
45,1136.566478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
46,1136.816477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3443,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
47,1137.066478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
48,1137.316477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
49,1137.566478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
50,1137.816477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
51,1138.066478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
52,1138.316477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
53,1138.566478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
54,1138.816477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
55,1139.066478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
56,1139.316477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
57,1139.566478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
58,1139.816477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
59,1140.066478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
60,1140.316477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
61,1140.566478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
62,1140.816477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
63,1141.066478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
64,1141.316477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
65,1141.566478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
66,1141.816477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
67,1142.066478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
68,1142.316477725,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249887,112
69,1142.566478225,false,false,A,RT->RT,00,20,03,20,01,N/A,8.5,0x1800,8.5,0x0000,0x3477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,false,249888,112
